AAB	Abelag Aviation - Belgium	ABG
ACW	Royal Air Force - United Kingdom	AIR CADET
ACY	Atlas Cargo Airlines - Morocco	ATLAS CARGOLINES
ADA	Airservices Australia - Australia	AUSCAL
ADB	Antonov Airlines - Ukraine	ANTONOV BUREAU
ADC	AD Astra Executive Charter - Poland	AD ASTRA
ADF	"Ade, Aviación Deportiva" - Spain	ADE AVIACION
ADG	Aerea Flying Training Organization - Spain	AEREA TRAINING
ADH	Air One - Italy	HERON
ADI	Audeli Air - Spain	AUDELI
ADL	Aero Dynamics - United Kingdom	COTSWOLD
ADN	Aerodienst GmbH - Germany	AERODIENST
ADO	Air Do - Japan	AIR DO
ADO	AIRDO - Japan	AIR DO
ADP	Aerodiplomatic - Mexico	AERODIPLOMATIC
ADQ	Avion Taxi - Canada	AIR DATA
ADR	Adria Airways - Slovenia	ADRIA
ADS	Aviones de Sonora - Mexico	SONORAV
ADT	Arrendaminetos y Transportes Turisticos - Mexico	ARRENDA-TRANS
ADU	Airdeal Oy - Finland	AIRDEAL
ADV	Advanced Flight Training - United Kingdom	ADVANCED
ADX	Anderson Aviation - United States	ANDAX
ADY	Aerodyne - United States	AERODYNE
AEA	Air Europa - Spain	EUROPA
AEE	Aegean Airlines - Greece	AEGEAN
AEH	Aero4m - Slovenia	AEROCUTTER
AEI	Air Italy Polska - Poland	POLISH BIRD
AEK	Aero Costa Rica - Costa Rica	ACORISA
AEK	Aerocon - Bolivia	AEROCON
AEM	Aero Madrid - Spain	AEROMADRID
AEO	Aeroservicios Ejecutivos Del Occidente - Mexico	AERO OCCIDENTE
AEP	Aerotec Escuela de Pilotos - Spain	AEROTEC
AER	Alaska Central Express - United States	ACE AIR
AES	Aerosur Paraguay - Paraguay	AEROPARAGUAY
AEV	Aeroventas - Mexico	AEROVENTAS
AEY	Air Italy - Italy	AIR ITALY
AEZ	Aerial Transit - United States	AERIAL TRANZ
AFA	Alfa Air - Czech Republic	BLUE ALFA
AFC	African West Air - Senegal	AFRICAN WEST
AFD	Panorama Flight Service - United States	AIRFED
AFE	Airfast Indonesia - Indonesia	AIRFAST
AFF	Africa Airways - Benin	AFRIWAYS
AFG	Ariana Afghan Airlines - Afghanistan	ARIANA
AFI	Africaone - The Gambia	AFRICAWORLD
AFK	Africa Air Links - Sierra Leone	AFRICA LINKS
AFL	Aeroflot Russian Airlines - Russia	AEROFLOT
AFN	African International Airlines - Lesotho	SIMBA
AFO	Aero Empresa Mexicana - Mexico	AERO EMPRESA
AFP	Portuguese Air Force - Portugal	PORTUGUESE AIR FORCE
AFQ	Alba Servizi Aerotrasporti - Italy	ALBA
AFR	Air France - France	AIRFRANS
AFV	Air Afrique Vacancies - C?te d'Ivoire	AFRIQUE VACANCE
AFW	Africa World Airlines - Ghana	BLACKSTAR
AFY	Africa Chartered Services - Nigeria	AFRICA CHARTERED
AFZ	Africa Freight Services - Zambia	AFREIGHT
AGA	AG Air - Georgia	GEOLINE
AGC	Arab Agricultural Aviation Company - Egypt	AGRICO
AGE	Servicios Aéreos de Los ?ngeles - Mexico	AEROANGEL
AGH	Altagna - France	ALTAGNA
AGI	Aereo Transportes Los Angeles de America - Mexico	ANGELES AMERICA
AGM	Air Guam - United States	AIR GUAM
AGM	Aviation West Charters - United States	ANGEL MED
AGO	Angola Air Charter - Angola	ANGOLA CHARTER
AGP	AERFI Group - Ireland	AIR TARA
AGR	United States Department Of Agriculture - United States	AGRICULTURE
AGT	Amadeus Global Travel Distribution - Spain	AMADEUS
AGU	Angara Airlines - Russia	SARMA
AGV	Air Glaciers - Switzerland	AIR GLACIERS
AGX	Aviogenex - Serbia	GENEX
AGY	Aero Flight Service - United States	FLIGHT GROUP
AGZ	Agrolet-Mci - Slovakia	AGROLET
AHA	Air Alpha Greenland - Denmark	AIR ALPHA
AHC	Azal Avia Cargo - Azerbaijan	AZALAVIACARGO
AHD	Czech Air Handling - Czech Republic	AIRHANDLING
AHE	"Airport Helicopter Basel, Muller & Co." - Switzerland	AIRPORT HELICOPTER
AHF	Aspen Helicopters - United States	ASPEN
AHH	Airplanes Holdings - Ireland	AIRHOLD
AHI	Servicios Aéreos de Chihuahua Aerochisa - Mexico	AEROCHISA
AHK	Air Hong Kong - Hong Kong	AIR HONG KONG
AHL	Aerolíneas Hidalgo - Mexico	HIDALGO
AHM	Garrison Aviation - Canada	AIR HURON
AHN	Air Hungaria - Hungary	AIR HUNGARIA
AHP	Aerochiapas - Mexico	AEROCHIAPAS
AHS	AHS Air International - Pakistan	HIGH SKY
AHS	Air Viggi San Raffaele - Italy	AIRSAR
AHT	HTA Helicopteros - Portugal	HELIAPRA
AHU	ABC Air Hungary - Hungary	ABC HUNGARY
AHY	Azerbaijan Airlines - Azerbaijan	AZAL
AIA	Avies - Estonia	AVIES
AIB	Airbus Industrie - France	AIRBUS INDUSTRIE
AIC	Air India?Limited - India	AIRINDIA
AID	Christian Konig - Century Airbirds - Austria	CENTURY AIRBIRD
AIE	Air Inuit - Canada	AIR INUIT
AIH	Alpine Air Chile - Chile	ALPINE CHILE
AII	Air Integra - Canada	INTEGRA
AIJ	ABC Aerolíneas - Mexico	ABC AEROLINEAS
AIK	African Airlines?International Limited - Kenya	AFRICAN AIRLINES
AIM	Trabajos Aéreos Murcianos - Spain	PIJO
AIN	African International Airways - Swaziland	FLY CARGO
AIO	"Chief of Staff,?United States Air Force" - United States	AIR CHIEF
AIO	United States Air Force - United States	AIR CHIEF
AIP	Alpine Air Express - United States	ALPINE AIR
AIQ	Thai AirAsia - Thailand	THAI ASIA
AIS	Air Sureste - Spain	SURESTE
AIU	Alicante Internacional Airlines - Spain	ALIA
AIV	Airvias S/A Linhas Aéreas - Brazil	AIRVIAS
AIW	Atlantic Island Airways - Canada	TARTAN
AIX	Aircruising Australia - Australia	CRUISER
AIY	Aircrew Check and Training Australia - Australia	AIRCREW
AIZ	Arkia Israel Airlines - Israel	ARKIA
AJA	Afghan Jet International Airlines - Afghanistan	AFGHAN JET
AJB	Aero JBR - Mexico	AERO JBR
AJC	Bar Harbor Airlines - United States	BAR HARBOR
AJF	Avia Consult Flugbetriebs - Austria	AVIACONSULT
AJH	Aeroaljarafe - Spain	ALJARAFE
AJI	Ameristar Jet Charter - United States	AMERISTAR
AJJ	A2 Jet Leasing - United States	ATLANTIC JET
AJK	Allied Air - Nigeria	BAMBI
AJM	Air Jamaica - Jamaica	JAMAICA
AJP	Aero Jets Corporativos - Mexico	AEROJETS
AJR	A-Jet Aviation Company - Mongolia	JET MONGOLIA
AJS	Aeroejecutivos Colombia - Colombia	AEROEJECUTIVOS
AJT	Amerijet International - United States	AMERIJET
AJU	Air Jetsul - Portugal	AIRJETSUL
AJV	ANA & JP Express - Japan	AYJAY CARGO
AJW	Alpha Jet International - United States	ALPHAJET
AJX	Air Japan - Japan	AIR JAPAN
AKB	Aktjubavia - Kazakhstan	KARAB
AKC	Arca Aerovías Colombianas Ltda. - Colombia	ARCA
AKF	Anikay Air Company - Kyrgyzstan	ANIKAY
AKG	No. 84 Squadron RAF - United Kingdom	GRIFTER
AKH	Akhal - Turkmenistan	AKHAL
AKK	Aklak Air - Canada	AKLAK
AKM	Mak Air - Kazakhstan	MAKAIR
AKN	Alkan Air - Canada	ALKAN AIR
AKR	Aero Clinker - Mexico	AERO CLINKER
AKT	Karat - Russia	AVIAKARAT
AKX	Air Nippon Network Co. Ltd. - Japan	ALFA WING
AKY	Yak-Service - Russia	YAK-SERVICE
ALB	Aero Albatros - Mexico	ALBATROS
ALC	"Southern Jersey Airways, Inc." - United States	ACOM
ALD	Albion Aviation - United Kingdom	ALBION
ALF	Allied Command Europe (Mobile Force) - Belgium	ACEFORCE
ALG	Air Logistics - United States	AIRLOG
ALJ	Heli Ambulance Team - Austria	ALPIN HELI
ALK	SriLankan Airlines - Sri Lanka	SRILANKAN
ALL	Aerovallarta - Mexico	VALLARTA
ALN	Air Lincoln - United States	CHICAGO LINCOLN
ALN	Alpha Jet - Slovakia	TOLEMAC
ALO	Allegheny Commuter Airlines - United States	ALLEGHENY
ALP	Allpoints Jet - China	ALL POINTS/纵横
ALP	Alpliner AG - Switzerland	ALPINER
ALQ	Altair Aviation (1986) - Canada	ALTAIR
ALR	Líneas Aéreas Alaire S.L. - Spain	AEROLAIRE
ALS	Aeralp - France	AERALP
ALT	Aerolíneas Centrales - Mexico	AERLINEAS CENTRALES
ALU	Air Luxor STP - S?o Tomé and Príncipe	LUXORJET
ALV	Aeropostal Alas de Venezuela - Venezuela	AEROPOSTAL
ALW	"Alas Nacionales, S.A." - Dominican Republic	ALNACIONAL
ALX	Hewa Bora Airways - Democratic Republic of the Congo	ALLCONGO
ALY	Alyeska Air Service - United States	ALYESKA
AMA	ATMA - Kazakhstan	ADIK
AMB	Deutsche Rettungsflugwacht - Germany	CIVIL AIR AMBULANCE
AMC	Air Malta - Malta	AIR MALTA
AME	Spanish Air Force - Spain	AIRMIL
AMF	Ameriflight - United States	AMFLIGHT
AMJ	Aviation Amos - Canada	AVIATION AMOS
AMK	Amerer Air - Austria	AMER AIR
AML	Air Malawi - Malawi	MALAWI
AMM	Aeroputul International Marculesti - Moldova	AEROM
AMN	Air Montenegro - Montenegro	MONTENEGRO
AMO	Air Montreal (Air Holdings Inc.) - Canada	AIR MONTREAL
AMP	Aero Transporte S.A. (ATSA) - Peru	ATSA
AMQ	Aircraft Management and Consulting - Poland	AMEX
AMR	Air Specialties Corporation - United States	AIR AM
AMS	Air Muskoka - Canada	AIR MUSKOKA
AMU	Air Macau - Macao	AIR MACAO
AMX	Aeroméxico - Mexico	AEROMEXICO
AMY	Air Ambar - Dominican Republic	AIR AMBAR
AMZ	Amiya Airline - Nigeria	AMIYA AIR
ANA	All Nippon Airways - Japan	ALL NIPPON
ANB	Air Navigation And Trading Co. Ltd. - United Kingdom	AIR NAV
AND	National Jet Service - United States	AIR INDIANA
AND	Servicios Aéreos de los Andes - Peru	SERVI ANDES
ANE	Air Nostrum - Spain	AIR NOSTRUM
ANG	Air Niugini - Papua New Guinea	NUIGINI
ANH	Alajnihah for Air Transport - Libya	ALAJNIHAH
ANI	Air Atlantic (Nig) Limited - Nigeria	NIGALANTIC
ANK	Air Nippon - Japan	ANK AIR
ANL	Nacoia Lda - Angola	AIR NACOIA
ANM	Aerotransportacion de Norteamerica - Mexico	NORAM
ANO	Airnorth - Australia	TOPEND
ANQ	Aerolínea de Antioquia - Colombia	ANTIOQUIA
ANS	Andes Líneas Aéreas - Argentina	AEROANDES
ANT	Air North Charter?- Canada - Canada	AIR NORTH
ANV	Air Nevada - United States	AIR NEVADA
ANX	Secretaria de Marina - Mexico	SECRETARIA DEMARINA
ANZ	Air New Zealand - New Zealand	NEW ZEALAND
AOA	"Alcon Servicios Aéreos, S.A. de C.V." - Mexico	ALCON
AOB	Aerocaribe Coro - Venezuela	CARIBE CORO
AOC	AVCOM - Russia	AERO AVCOM
AOD	Aero Vodochody - Czech Republic	AERO CZECH
AOE	Lvingstone Executive - Italy	LIVINGSTONE AIR
AOF	Atair Pty Ltd. - South Africa	ATAIR
AOJ	Avon Jet - Austria	ASTERIX
AON	Aero Entreprise - France	AERO ENTERPRISE
AOO	"As, Opened Joint Stock Company" - Ukraine	COMPANY AS
AOP	Aeropiloto - Portugal	AEROPILOTO
AOR	Afro International Ent. Limited - Nigeria	INTER-AFRO
AOS	"Servicios Aéreos Del Sol, S.A. de C.V." - Mexico	AEROSOL
AOT	Asia Overnight Express - Philippines	ASIA OVERNIGHT
AOU	Air Tractor - Croatia	AIR TRACTOR
AOV	Aero Vision - France	AEROVISION
AOX	Aerotaxi Del Valle - Colombia	AEROVALLE
APA	Air Park Aviation Ltd. - Canada	CAN-AM
APC	"Airpac Airlines, Inc." - United States	AIRPAC
APE	Parcel Express - United States	AIR PARCEL
APF	Amapola Flyg AB - Sweden	AMAPOLA
APG	Air People International - Thailand	AIR PEOPLE
APH	"Alpha Aviation, Inc." - United States	AIRFLIGHT
API	"ASA Pesada, Lda." - Angola	ASA PESADA
APJ	"Peach Aviation" - Japan	AIR PEACH
APL	"Appalachian Flying Service, Inc." - United States	APPALACHIAN
APL	Corporativo Aereo Principal - Mexico	AEREO PRINCIPAL
APM	"Airpac, Inc." - United States	ALASKA PACIFIC
APP	"Aerolíneas Pacífico Atlántico, S.A. (Apair)" - Panama	AEROPERLAS
APQ	Aspen Aviation - United States	ASPEN BASE
APR	Aerolíneas Primordiales - Mexico	AEROPERLAS
APT	"LAP Colombia - Líneas Aéreas Petroleras, S.A." - Colombia	LAP
APU	"Aeropuma, S.A." - El Salvador	AEROPUMA
APV	Air Plan International - Democratic Republic of the Congo	AIR PLAN
APX	Apex Air Cargo - United States	PARCEL EXPRESS
APY	APA Internacional - Dominican Republic	APA INTERNACIONAL
AQA	Aqours Airline - Aqours/水蓝 / "Aeroatlas, S.A." - Colombia	ATCO
AQL	Aquila Air Ltd. - Canada	AQUILA
AQO	Aluminum Company Of America - United States	ALCOA SHUTTLE
AQT	"Aviones de Renta de Quintana Roo, S.A. de C.V." - Mexico	AVIOQUINTANA
AQZ	Aerodyne Charter Company - United States	QUANZA
ARA	Arik Air - Nigeria	ARIK AIR
ARB	Avia Air N.V. - Aruba	AVIAIR
ARE	LAN Colombia - Colombia	LAN COLOMBIA
ARG	Aerolíneas Argentinas - Argentina	ARGENTINA
ARH	Aerohelicopteros - Venezuela	AEROHELCA
ARH	Arrowhead Airways - United States	ARROWHEAD
ARI	Aero Vics - Mexico	AEROVICS
ARK	Aero Link Air Services S.L. - Spain	LINK SERVICE
ARL	Airlec - Air Aquitaine Transport - France	AIRLEC
ARO	Acero Taxi - Mexico	ACERO
ARP	Aero Corporate - C?te d'Ivoire	IVORYCORP
ARQ	"Armstrong Air, Inc." - Canada	ARMSTRONG
ARR	Air Armenia - Armenia	AIR ARMENIA
ARS	Aeromet Servicios - Chile	METSERVICE
ART	Aerotal Aerolíneas Territoriales de Colombia Ltda. - Colombia	AEROTAL
ART	Smartlynx Airlines - Latvia	SMART LYNX
ARV	Aravco Ltd. - United Kingdom	ARAVCO
ARW	Aria - France	ARIABIRD
ARX	"Air Xpress, Inc." - United States	AIREX
ARY	Argosy Airways - United States	GOSEY
ARZ	Air Resorts - United States	AIR RESORTS
ASA	"Alaska Airlines, Inc." - United States	ALASKA
ASB	Air-Spray 1967 Ltd. - Canada	AIR SPRAY
ASC	Air Star Corporation - Canada	AIR STAR
ASD	Air Sinai - Egypt	AIR SINAI
ASF	"Air Schefferville, Inc." - Canada	SCHEFF
ASF	Austrian Air Force - Austria	AUSTRIAN AIRFORCE
ASG	African Star Airways (PTY) Ltd. - South Africa	AFRICAN STAR
ASH	Mesa Airlines - United States	AIR SHUTTLE
ASI	"Aerosun International, Inc." - United States	AEROSUN
ASK	Aerosky - Spain	MULTISKY
ASK	La Ronge Aviation Services - Canada	AIR SASK
ASL	Air Serbia - Serbia	AIR SERBIA
ASM	Awesome Flight Services (PTY) Ltd. - South Africa	AWESOME
ASO	Aero Slovakia - Slovakia	AERO NITRA
ASP	Airsprint - Canada	AIRSPRINT
ASQ	Atlantic Southeast Airlines - United States	ACEY
ASQ	ExpressJet - United States	ACEY
ASR	Aero Sotravia - France	SOTRAVIA
ASR	"All Star Airlines, Inc." - United States	ALL STAR
ASS	"Air Class, S.A. de C.V." - Mexico	AIR CLASS
AST	Aerolíneas Del Oeste - Mexico	AEROESTE
ASV	Astravia-Bissau Air Transports Ltd. - Guinea-Bissau	ASTRAVIA
ASX	Air Special - Czech Republic	AIRSPEC
ASY	Royal Australian Air Force - Australia	AUSSIE
ATB	Atlantair Ltd. - Canada	STARLITE
ATC	Air Tanzania - Tanzania	TANZANIA
ATD	Aerotours Dominicana - Dominican Republic	AEROTOURS
ATE	"Atlantis Transportation Services, Ltd." - Canada	ATLANTIS CANADA
ATF	Compa?ía Aerotécnicas Fotográficas - Spain	AEROTECNICAS
ATG	Aerotrans Airline - Kazakhstan	BACHYT
ATH	Air Travel Corp. - United States	AIR TRAVEL
ATJ	Air Traffic GmbH - Germany	SNOOPY
ATM	Airlines of Tasmania - Australia	AIRTAS
ATN	Air Transport International - United States	AIR TRANSPORT
ATP	ASTRAL Colombia - Aerotransportes Especiales Ltda. - Colombia	ASTRAL
ATQ	Air Transport Schiphol - Netherlands	MULTI
ATQ	CHC Helicopters Nigeria - Nigeria	COLIBRI
ATR	Atlas Airlines - United States	ATLAS-AIR
ATT	Attawasol Airlines - Libya	ATTAWASOL AIR
ATU	Atlant Aerobatics Ltd. - Hungary	ATLANT HUNGARY
ATV	Avanti Air - Germany	AVANTI AIR
ATX	Warwickshire Aerocentre Ltd. - United Kingdom	AIRTAX
ATZ	Ace Air - South Korea	ACE TAXI
AUA	Austrian Airlines - Austria	AUSTRIAN
AUD	"Audi Air, Inc." - United States	AUDI AIR
AUF	Augusta Air Luftfahrtunternehmen - Germany	AUGUSTA
AUH	Abu Dhabi Amiri Flight - United Arab Emirates	SULTAN
AUI	Ukraine International Airlines - Ukraine	UKRAINE INTERNATIONAL
AUJ	Business Flight Salzburg - Austria	AUSTROJET
AUL	Nordavia - Russia	ARCHANGELSK AIR
AUM	Air Atlantic Uruguay - Uruguay	ATLAMUR
AUN	Aviones Unidos - Mexico	AVIONES UNIDOS
AUN	Common Sky - Austria	COMMON SKY
AUO	"Empresa (Aero Uruguay), S.A." - Uruguay	UNIFORM OSCAR
AUR	Aurigny Air Services - United Kingdom	AYLINE
AUT	Austral Líneas Aéreas - Argentina	AUSTRAL
AUY	"Aerolíneas Uruguayas, S.A." - Uruguay	AUSA
AUZ	Australian Airlines - Australia	AUSTRALIAN
AVA	Avianca - Aerovías del Continente Americano S.A. - Colombia	AVIANCA
AVB	Aviation Beauport - United Kingdom	BEAUPAIR
AVD	"?lamo Aviación, S.L." - Spain	ALAMO
AVF	Aviair Aviation Ltd. - Canada	CARIBOO
AVG	Air Falcon - Djibouti	DJIBOUTI FALCON
AVG	Aviation Legacy - Gambia	AVILEF
AVJ	Avia Traffic Company - Kyrgyzstan	ATOMIC
AVK	AV8 Helicopters - South Africa	AVIATE-COPTER
AVM	"Aviación Ejecutiva Mexicana, S.A." - Mexico	AVEMEX
AVN	Air Vanuatu - Vanuatu	AIR VAN
AVO	Aviation at Work - South Africa	AVIATION WORK
AVP	Aviacion Corporativa de Peubla - Mexico	AVIA PUEBLA
AVQ	"Aviation Services, Inc." - United States	AQUILINE
AVR	"Active Aero Charter, Inc." - United States	ACTIVE AERO
AVS	Avialsa T-35 - Spain	AVIALSA
AVU	Avia Sud Aérotaxi - France	AVIASUD
AVV	Airvantage Incorporated - United States	AIRVANTAGE
AVW	Aviator Airways - Greece	AVIATOR
AVY	"Aerovaradero, S.A." - Cuba	AEROVARADERO
AVZ	Air Valencia - Spain	AIR VALENCIA
AWB	"Airways International, Inc." - United States	AIRNAT
AWC	Titan Airways - United Kingdom	ZAP
AWE	America West Airlines - United States	CACTUS
AWE	US Airways - United States	CACTUS
AWI	Air Wisconsin - United States	AIR WISCONSIN
AWJ	Sahel Airlines - Niger	SAHEL AIRLINES
AWK	Airwork - New Zealand	AIRWORK
AWL	Australian Wetleasing - Australia	AUSSIEWORLD
AWN	Air Niamey - Niger	AIR NIAMEY
AWO	Awood Air Ltd. - Canada	AWOOD AIR
AWQ	Indonesia AirAsia - Indonesia	WAGON AIR
AWR	Arctic Wings And Rotors Ltd. - Canada	ARCTIC WINGS
AWS	Arab Wings - Jordan	ARAB WINGS
AWT	Air West - Canada	AIR WEST
AWU	Sylt Air GmbH - Germany	SYLT-AIR
AWV	"Airwave Transport, Inc." - Canada	AIRWAVE
AWX	Civil Aviation Authority?Directorate of Airspace Policy - United Kingdom	ALLWEATHER
AWY	"Aeroway, S.L." - Spain	AEROWEE
AXB	Air India Express - India	EXPRESS INDIA
AXD	Air Express - Sudan	AIR SUDEX
AXF	Asian Express Airlines - Australia	FREIGHTEXPRESS
AXH	Aeromexhaga - Mexico	AEROMEXHAGA
AXI	"Aeron International Airlines, Inc." - United States	AIR FREIGHTER
AXK	African Express Airways - Kenya	EXPRESS JET
AXM	AirAsia Berhad - Malaysia	RED CAP
AXP	Aeromax - Spain	AEROMAX SPAIN
AXQ	Action Airlines (Action Air Charter) - United States	ACTION AIR
AXR	"Axel Rent, S.A." - Mexico	RENTAXEL
AXS	Altus Airlines - United States	ALTUS
AXV	Aviaxess - France	AXAVIA
AXX	Advance Air Luftfahrtgesellschaft - Germany	SKY SHUTTLE
AYB	Belgian Army - Belgium	BELGIAN ARMY
AYE	Yunnan Yingan Airlines - China	AIR YING AN/英安
AYG	Yangon Airways - Burma	AIR YANGON
AYM	"Airman, S.L." - Spain	AIRMAN
AYN	"Atlantic Airlines, S.A." - Nicaragua	ATLANTIC NICARAGUA
AYR	Flight Training Europe - Spain	CYGNET
AYT	Ayeet Aviation & Tourism - Israel	AYEET
AZA	Alitalia - Italy	ALITALIA
AZB	Zaab Air - Ghana	ZAAB AIR
AZE	Arcus-Air Logistic - Germany	ARCUS AIR
AZF	Air Zermatt AG - Switzerland	AIR ZERMATT
AZG	Sakaviaservice - Georgia	SAKSERVICE
AZI	Astra Airlines - Greece	ASTRA
AZK	Azalhelikopter - Azerbaijan	AZALHELICOPTER
AZM	Aerocozumel - Mexico	AEROCOZUMEL
AZP	Arizona Pacific Airways - United States	ARIZONA PACIFIC
AZQ	Silk Way Airlines - Azerbaijan	SILK LINE
AZR	Zenith Air - South Africa	ZENAIR
AZS	Aviacon Zitotrans Air Company - Russia	ZITOTRANS
AZT	"Azimut, S.A." - Spain	AZIMUT
AZU	Azul Linhas Aéreas Brasileiras - Brazil	Azul
AZW	Air Zimbabwe - Zimbabwe	AIR ZIMBABWE
AZY	"Arizona Airways, Inc." - United States	ARIZAIR
AZY	Aztec Worldwide Airlines - United States	AZTEC WORLD
AZZ	Azza Transport - Sudan	AZZA TRANSPORT
BAA	Balkan Agro Aviation - Bulgaria	BALKAN AGRO
BAB	Bahrain Air BSC (Closed) - Bahrain	AWAL
BAF	Belgian Air Force - Belgium	BELGIAN AIRFORCE
BAG	Dba - Germany	SPEEDWAY
BAH	The Amiri Flight - Bahrain	BAHRAIN
BAJ	Baker Aviation - United States	RODEO
BAK	Blackhawk Airways - United States	BLACKHAWK
BAL	Belle Air Europe - Italy	BELLEAIR EUROPE
BAM	Business Air Services - Canada	BUSINESS AIR
BAN	British Antarctic Survey - United Kingdom	PENGUIN
BAP	Trans International Express Aviation - United States	BIG APPLE
BAR	Bradly Air (Charter) Services - Canada	BRADLEY
BAS	Aero Services - Barbados	AEROSERV
BAT	Premiair - Luxembourg	BALLISTIC
BAU	Bissau Airlines - Guinea-Bissau	AIR BISSAU
BAV	Bay Aviation Ltd - Bangladesh	BAY AIR
BAW	British Airways - United Kingdom	SPEEDBIRD
BAY	Bayon Airlines - Cambodia	BAYON
BBA	Bannert Air - Austria	BANAIR
BBB	SwedJet Airways - Sweden	BLACKBIRD
BBC	Biman Bangladesh Airlines - Bangladesh	BANGLADESH
BBD	Bluebird Cargo - Iceland	BLUE CARGO
BBE	Ababeel Aviation - Sudan	BABEL AIR
BBF	B-Air Charter - Germany	SPEEDCHARTER
BBJ	Blue Air Lines - South Korea	BLUE KOREA
BBL	IBM?Euroflight Operations - Switzerland	BLUE
BBN	Civil Aviation Authority?Airworthiness Division - United Kingdom	BRABAZON
BBO	Flybaboo - Switzerland	BABOO
BBR	Santa Barbara Airlines - Venezuela	SANTA BARBARA
BBS	Beibars CJSC - Kazakhstan	BEIBARS
BBV	Bravo Airlines - Spain	BRAVO EUROPE
BBZ	Bluebird Aviation - Kenya	COBRA
BCB	Carib Express - Barbados	WAVEBIRD
BCF	BACH Flugbetriebsges - Austria	BACH
BCH	Phillips Air - United States	BEACHBALL
BCI	Blue Islands - United Kingdom	BLUE ISLAND
BCJ	Blue Jet Charters - Poland	BLUE BOY
BCK	Priority Aviation Company - United States	BANKCHECK
BCN	Ocean Air - Mauritania	BLUE OCEAN
BCR	British Charter - United Kingdom	BACKER
BCS	European Air Transport - Belgium	EUROTRANS
BCT	BCT Aviation - United Kingdom	BOBCAT
BCV	Business Aviation Center - Ukraine	BUSINESS AVIATION
BCY	CityJet - Ireland	CITY JET
BDA	Blue Dart Aviation - India	BLUE DART
